t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
1.480148e-01 1.409926e-01 8.590074e-01 3.540367e-01
1.484148e-01 1.417002e-01 8.582998e-01 3.540367e-01
1.488149e-01 1.424092e-01 8.575908e-01 3.540367e-01
1.492149e-01 1.431195e-01 8.568805e-01 3.540367e-01
1.496150e-01 1.438311e-01 8.561689e-01 3.540367e-01
1.500150e-01 1.445440e-01 8.554560e-01 3.540367e-01
1.504150e-01 1.452582e-01 8.547418e-01 3.540367e-01
1.508151e-01 1.459738e-01 8.540262e-01 3.540367e-01
1.512151e-01 1.466906e-01 8.533094e-01 3.540367e-01
1.516152e-01 1.474087e-01 8.525913e-01 3.540367e-01
1.520152e-01 1.481282e-01 8.518718e-01 3.540367e-01
1.524152e-01 1.488489e-01 8.511511e-01 3.540367e-01
1.528153e-01 1.495709e-01 8.504291e-01 3.540367e-01
1.532153e-01 1.502942e-01 8.497058e-01 3.540367e-01
1.536154e-01 1.510187e-01 8.489813e-01 3.540367e-01
1.540154e-01 1.517445e-01 8.482555e-01 3.540367e-01
1.544154e-01 1.524716e-01 8.475284e-01 3.540367e-01
1.548155e-01 1.532000e-01 8.468000e-01 3.540367e-01
1.552155e-01 1.539295e-01 8.460705e-01 3.540367e-01
1.556156e-01 1.546604e-01 8.453396e-01 3.540367e-01
1.560156e-01 1.553925e-01 8.446075e-01 3.540367e-01
1.564156e-01 1.561258e-01 8.438742e-01 3.540367e-01
1.568157e-01 1.568604e-01 8.431396e-01 3.540367e-01
1.572157e-01 1.575962e-01 8.424038e-01 3.540367e-01
1.576158e-01 1.583332e-01 8.416668e-01 3.540367e-01
1.580158e-01 1.590715e-01 8.409285e-01 3.540367e-01
1.584158e-01 1.598110e-01 8.401890e-01 3.540367e-01
1.588159e-01 1.605517e-01 8.394483e-01 3.540367e-01
1.592159e-01 1.612936e-01 8.387064e-01 3.540367e-01
1.596160e-01 1.620367e-01 8.379633e-01 3.540367e-01
1.600160e-01 1.627810e-01 8.372190e-01 3.540367e-01
1.604160e-01 1.635265e-01 8.364735e-01 3.540367e-01
1.608161e-01 1.642732e-01 8.357268e-01 3.540367e-01
1.612161e-01 1.650211e-01 8.349789e-01 3.540367e-01
1.616162e-01 1.657701e-01 8.342299e-01 3.540367e-01
1.620162e-01 1.665204e-01 8.334796e-01 3.540367e-01
1.624162e-01 1.672718e-01 8.327282e-01 3.540367e-01
1.628163e-01 1.680243e-01 8.319757e-01 3.540367e-01
1.632163e-01 1.687781e-01 8.312219e-01 3.540367e-01
1.636164e-01 1.695330e-01 8.304670e-01 3.540367e-01
1.640164e-01 1.702890e-01 8.297110e-01 3.540367e-01
1.644164e-01 1.710462e-01 8.289538e-01 3.540367e-01
1.648165e-01 1.718046e-01 8.281954e-01 3.540367e-01
1.652165e-01 1.725641e-01 8.274359e-01 3.540367e-01
1.656166e-01 1.733247e-01 8.266753e-01 3.540367e-01
1.660166e-01 1.740864e-01 8.259136e-01 3.540367e-01
1.664166e-01 1.748493e-01 8.251507e-01 3.540367e-01
1.668167e-01 1.756133e-01 8.243867e-01 3.540367e-01
1.672167e-01 1.763784e-01 8.236216e-01 3.540367e-01
1.676168e-01 1.771446e-01 8.228554e-01 3.540367e-01
1.680168e-01 1.779119e-01 8.220881e-01 3.540367e-01
1.684168e-01 1.786804e-01 8.213196e-01 3.540367e-01
1.688169e-01 1.794499e-01 8.205501e-01 3.540367e-01
1.692169e-01 1.802205e-01 8.197795e-01 3.540367e-01
1.696170e-01 1.809922e-01 8.190078e-01 3.540367e-01
1.700170e-01 1.817650e-01 8.182350e-01 3.540367e-01
1.704170e-01 1.825388e-01 8.174612e-01 3.540367e-01
1.708171e-01 1.833138e-01 8.166862e-01 3.540367e-01
1.712171e-01 1.840898e-01 8.159102e-01 3.540367e-01
1.716172e-01 1.848668e-01 8.151332e-01 3.540367e-01
1.720172e-01 1.856449e-01 8.143551e-01 3.540367e-01
1.724172e-01 1.864241e-01 8.135759e-01 3.540367e-01
