p rho_p
4.883721e+00 4.884800e-25
4.891223e+00 5.177321e-25
4.898725e+00 5.487194e-25
4.906227e+00 5.815437e-25
4.913728e+00 6.163130e-25
4.921230e+00 6.531413e-25
4.928732e+00 6.921494e-25
4.936234e+00 7.334651e-25
4.943736e+00 7.772236e-25
4.951238e+00 8.235678e-25
4.958740e+00 8.726491e-25
4.966242e+00 9.246275e-25
4.973743e+00 9.796725e-25
4.981245e+00 1.037963e-24
4.988747e+00 1.099689e-24
4.996249e+00 1.165050e-24
5.003751e+00 1.234259e-24
5.011253e+00 1.307540e-24
5.018755e+00 1.385130e-24
5.026257e+00 1.467280e-24
5.033758e+00 1.554255e-24
5.041260e+00 1.646337e-24
5.048762e+00 1.743821e-24
5.056264e+00 1.847022e-24
5.063766e+00 1.956271e-24
5.071268e+00 2.071921e-24
5.078770e+00 2.194341e-24
5.086272e+00 2.323924e-24
5.093773e+00 2.461086e-24
5.101275e+00 2.606265e-24
5.108777e+00 2.759925e-24
5.116279e+00 2.922556e-24
5.123781e+00 3.094678e-24
5.131283e+00 3.276838e-24
5.138785e+00 3.469617e-24
5.146287e+00 3.673626e-24
5.153788e+00 3.889514e-24
5.161290e+00 4.117965e-24
5.168792e+00 4.359704e-24
5.176294e+00 4.615495e-24
5.183796e+00 4.886147e-24
5.191298e+00 5.172514e-24
5.198800e+00 5.475501e-24
5.206302e+00 5.796062e-24
5.213803e+00 6.135206e-24
5.221305e+00 6.493999e-24
5.228807e+00 6.873569e-24
5.236309e+00 7.275106e-24
5.243811e+00 7.699869e-24
5.251313e+00 8.149188e-24
5.258815e+00 8.624468e-24
5.266317e+00 9.127194e-24
5.273818e+00 9.658935e-24
5.281320e+00 1.022135e-23
5.288822e+00 1.081619e-23
5.296324e+00 1.144530e-23
5.303826e+00 1.211064e-23
5.311328e+00 1.281427e-23
5.318830e+00 1.355838e-23
5.326332e+00 1.434527e-23
5.333833e+00 1.517738e-23
5.341335e+00 1.605727e-23
5.348837e+00 1.698766e-23
5.356339e+00 1.797143e-23
5.363841e+00 1.901159e-23
5.371343e+00 2.011136e-23
5.378845e+00 2.127411e-23
5.386347e+00 2.250342e-23
5.393848e+00 2.380305e-23
5.401350e+00 2.517698e-23
5.408852e+00 2.662942e-23
5.416354e+00 2.816481e-23
5.423856e+00 2.978783e-23
5.431358e+00 3.150345e-23
5.438860e+00 3.331687e-23
5.446362e+00 3.523364e-23
5.453863e+00 3.725956e-23
5.461365e+00 3.940080e-23
5.468867e+00 4.166385e-23
5.476369e+00 4.405556e-23
5.483871e+00 4.658318e-23
5.491373e+00 4.925435e-23
5.498875e+00 5.207713e-23
5.506377e+00 5.506005e-23
5.513878e+00 5.821209e-23
5.521380e+00 6.154275e-23
5.528882e+00 6.506202e-23
5.536384e+00 6.878050e-23
5.543886e+00 7.270933e-23
5.551388e+00 7.686029e-23
5.558890e+00 8.124580e-23
5.566392e+00 8.587899e-23
5.573893e+00 9.077368e-23
5.581395e+00 9.594450e-23
5.588897e+00 1.014068e-22
5.596399e+00 1.071770e-22
5.603901e+00 1.132721e-22
5.611403e+00 1.197102e-22
5.618905e+00 1.265105e-22
5.626407e+00 1.336932e-22
5.633908e+00 1.412794e-22
5.641410e+00 1.492917e-22
5.648912e+00 1.577536e-22
5.656414e+00 1.666902e-22
5.663916e+00 1.761279e-22
5.671418e+00 1.860943e-22
5.678920e+00 1.966189e-22
5.686422e+00 2.077325e-22
5.693923e+00 2.194678e-22
5.701425e+00 2.318591e-22
5.708927e+00 2.449427e-22
5.716429e+00 2.587570e-22
5.723931e+00 2.733423e-22
5.731433e+00 2.887411e-22
5.738935e+00 3.049983e-22
5.746437e+00 3.221613e-22
5.753938e+00 3.402801e-22
5.761440e+00 3.594071e-22
5.768942e+00 3.795980e-22
5.776444e+00 4.009113e-22
5.783946e+00 4.234088e-22
5.791448e+00 4.471554e-22
5.798950e+00 4.722198e-22
5.806452e+00 4.986743e-22
5.813953e+00 5.265953e-22
5.821455e+00 5.560630e-22
5.828957e+00 5.871624e-22
5.836459e+00 6.199826e-22
5.843961e+00 6.546180e-22
5.851463e+00 6.911678e-22
5.858965e+00 7.297367e-22
5.866467e+00 7.704350e-22
5.873968e+00 8.133790e-22
5.881470e+00 8.586912e-22
5.888972e+00 9.065008e-22
5.896474e+00 9.569440e-22
5.903976e+00 1.010164e-21
5.911478e+00 1.066313e-21
5.918980e+00 1.125549e-21
5.926482e+00 1.188040e-21
5.933983e+00 1.253964e-21
5.941485e+00 1.323507e-21
5.948987e+00 1.396866e-21
5.956489e+00 1.474247e-21
5.963991e+00 1.555868e-21
5.971493e+00 1.641960e-21
5.978995e+00 1.732764e-21
5.986497e+00 1.828535e-21
5.993998e+00 1.929544e-21
6.001500e+00 2.036071e-21
6.009002e+00 2.148416e-21
6.016504e+00 2.266893e-21
6.024006e+00 2.391833e-21
6.031508e+00 2.523585e-21
6.039010e+00 2.662515e-21
6.046512e+00 2.809010e-21
6.054014e+00 2.963478e-21
6.061515e+00 3.126348e-21
6.069017e+00 3.298072e-21
6.076519e+00 3.479126e-21
6.084021e+00 3.670010e-21
6.091523e+00 3.871253e-21
6.099025e+00 4.083410e-21
6.106527e+00 4.307067e-21
6.114029e+00 4.542840e-21
6.121530e+00 4.791378e-21
6.129032e+00 5.053364e-21
6.136534e+00 5.329518e-21
6.144036e+00 5.620597e-21
6.151538e+00 5.927399e-21
6.159040e+00 6.250763e-21
6.166542e+00 6.591574e-21
6.174044e+00 6.950762e-21
6.181545e+00 7.329306e-21
6.189047e+00 7.728238e-21
6.196549e+00 8.148643e-21
6.204051e+00 8.591664e-21
6.211553e+00 9.058504e-21
6.219055e+00 9.550429e-21
6.226557e+00 1.006877e-20
6.234059e+00 1.061493e-20
6.241560e+00 1.119039e-20
6.249062e+00 1.179670e-20
6.256564e+00 1.243549e-20
6.264066e+00 1.310848e-20
6.271568e+00 1.381749e-20
6.279070e+00 1.456442e-20
6.286572e+00 1.535127e-20
6.294074e+00 1.618016e-20
6.301575e+00 1.705330e-20
6.309077e+00 1.797303e-20
6.316579e+00 1.894180e-20
6.324081e+00 1.996220e-20
6.331583e+00 2.103696e-20
6.339085e+00 2.216892e-20
6.346587e+00 2.336111e-20
6.354089e+00 2.461668e-20
6.361590e+00 2.593898e-20
6.369092e+00 2.733149e-20
6.376594e+00 2.879792e-20
6.384096e+00 3.034213e-20
6.391598e+00 3.196820e-20
6.399100e+00 3.368043e-20
6.406602e+00 3.548332e-20
6.414104e+00 3.738162e-20
6.421605e+00 3.938032e-20
6.429107e+00 4.148466e-20
6.436609e+00 4.370017e-20
6.444111e+00 4.603264e-20
6.451613e+00 4.848818e-20
6.459115e+00 5.107321e-20
6.466617e+00 5.379447e-20
6.474119e+00 5.665905e-20
6.481620e+00 5.967443e-20
6.489122e+00 6.284843e-20
6.496624e+00 6.618931e-20
6.504126e+00 6.970574e-20
6.511628e+00 7.340683e-20
6.519130e+00 7.730215e-20
6.526632e+00 8.140180e-20
6.534134e+00 8.571634e-20
6.541635e+00 9.025692e-20
