t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
1.052105e-01 8.124441e-02 9.187556e-01 3.540367e-01
1.056106e-01 8.183062e-02 9.181694e-01 3.540367e-01
1.060106e-01 8.241857e-02 9.175814e-01 3.540367e-01
1.064106e-01 8.300825e-02 9.169917e-01 3.540367e-01
1.068107e-01 8.359967e-02 9.164003e-01 3.540367e-01
1.072107e-01 8.419280e-02 9.158072e-01 3.540367e-01
1.076108e-01 8.478766e-02 9.152123e-01 3.540367e-01
1.080108e-01 8.538423e-02 9.146158e-01 3.540367e-01
1.084108e-01 8.598250e-02 9.140175e-01 3.540367e-01
1.088109e-01 8.658248e-02 9.134175e-01 3.540367e-01
1.092109e-01 8.718416e-02 9.128158e-01 3.540367e-01
1.096110e-01 8.778753e-02 9.122125e-01 3.540367e-01
1.100110e-01 8.839258e-02 9.116074e-01 3.540367e-01
1.104110e-01 8.899932e-02 9.110007e-01 3.540367e-01
1.108111e-01 8.960773e-02 9.103923e-01 3.540367e-01
1.112111e-01 9.021781e-02 9.097822e-01 3.540367e-01
1.116112e-01 9.082956e-02 9.091704e-01 3.540367e-01
1.120112e-01 9.144296e-02 9.085570e-01 3.540367e-01
1.124112e-01 9.205803e-02 9.079420e-01 3.540367e-01
1.128113e-01 9.267473e-02 9.073253e-01 3.540367e-01
1.132113e-01 9.329309e-02 9.067069e-01 3.540367e-01
1.136114e-01 9.391308e-02 9.060869e-01 3.540367e-01
1.140114e-01 9.453470e-02 9.054653e-01 3.540367e-01
1.144114e-01 9.515795e-02 9.048421e-01 3.540367e-01
1.148115e-01 9.578282e-02 9.042172e-01 3.540367e-01
1.152115e-01 9.640931e-02 9.035907e-01 3.540367e-01
1.156116e-01 9.703740e-02 9.029626e-01 3.540367e-01
1.160116e-01 9.766710e-02 9.023329e-01 3.540367e-01
1.164116e-01 9.829841e-02 9.017016e-01 3.540367e-01
1.168117e-01 9.893130e-02 9.010687e-01 3.540367e-01
1.172117e-01 9.956578e-02 9.004342e-01 3.540367e-01
1.176118e-01 1.002018e-01 8.997982e-01 3.540367e-01
1.180118e-01 1.008395e-01 8.991605e-01 3.540367e-01
1.184118e-01 1.014787e-01 8.985213e-01 3.540367e-01
1.188119e-01 1.021195e-01 8.978805e-01 3.540367e-01
1.192119e-01 1.027618e-01 8.972382e-01 3.540367e-01
1.196120e-01 1.034057e-01 8.965943e-01 3.540367e-01
1.200120e-01 1.040512e-01 8.959488e-01 3.540367e-01
1.204120e-01 1.046981e-01 8.953019e-01 3.540367e-01
1.208121e-01 1.053467e-01 8.946533e-01 3.540367e-01
1.212121e-01 1.059967e-01 8.940033e-01 3.540367e-01
1.216122e-01 1.066483e-01 8.933517e-01 3.540367e-01
1.220122e-01 1.073014e-01 8.926986e-01 3.540367e-01
1.224122e-01 1.079560e-01 8.920440e-01 3.540367e-01
1.228123e-01 1.086121e-01 8.913879e-01 3.540367e-01
1.232123e-01 1.092697e-01 8.907303e-01 3.540367e-01
1.236124e-01 1.099289e-01 8.900711e-01 3.540367e-01
1.240124e-01 1.105895e-01 8.894105e-01 3.540367e-01
1.244124e-01 1.112516e-01 8.887484e-01 3.540367e-01
1.248125e-01 1.119152e-01 8.880848e-01 3.540367e-01
1.252125e-01 1.125802e-01 8.874198e-01 3.540367e-01
1.256126e-01 1.132467e-01 8.867533e-01 3.540367e-01
1.260126e-01 1.139147e-01 8.860853e-01 3.540367e-01
1.264126e-01 1.145841e-01 8.854159e-01 3.540367e-01
1.268127e-01 1.152550e-01 8.847450e-01 3.540367e-01
1.272127e-01 1.159274e-01 8.840726e-01 3.540367e-01
1.276128e-01 1.166011e-01 8.833989e-01 3.540367e-01
1.280128e-01 1.172763e-01 8.827237e-01 3.540367e-01
1.284128e-01 1.179530e-01 8.820470e-01 3.540367e-01
1.288129e-01 1.186310e-01 8.813690e-01 3.540367e-01
1.292129e-01 1.193105e-01 8.806895e-01 3.540367e-01
1.296130e-01 1.199914e-01 8.800086e-01 3.540367e-01
1.300130e-01 1.206736e-01 8.793264e-01 3.540367e-01
1.304130e-01 1.213573e-01 8.786427e-01 3.540367e-01
1.308131e-01 1.220424e-01 8.779576e-01 3.540367e-01
1.312131e-01 1.227288e-01 8.772712e-01 3.540367e-01
1.316132e-01 1.234167e-01 8.765833e-01 3.540367e-01
1.320132e-01 1.241059e-01 8.758941e-01 3.540367e-01
1.324132e-01 1.247964e-01 8.752036e-01 3.540367e-01
1.328133e-01 1.254884e-01 8.745116e-01 3.540367e-01
1.332133e-01 1.261817e-01 8.738183e-01 3.540367e-01
1.336134e-01 1.268763e-01 8.731237e-01 3.540367e-01
1.340134e-01 1.275723e-01 8.724277e-01 3.540367e-01
1.344134e-01 1.282696e-01 8.717304e-01 3.540367e-01
1.348135e-01 1.289682e-01 8.710318e-01 3.540367e-01
1.352135e-01 1.296682e-01 8.703318e-01 3.540367e-01
1.356136e-01 1.303695e-01 8.696305e-01 3.540367e-01
1.360136e-01 1.310721e-01 8.689279e-01 3.540367e-01
1.364136e-01 1.317760e-01 8.682240e-01 3.540367e-01
1.368137e-01 1.324812e-01 8.675188e-01 3.540367e-01
1.372137e-01 1.331877e-01 8.668123e-01 3.540367e-01
1.376138e-01 1.338955e-01 8.661045e-01 3.540367e-01
1.380138e-01 1.346046e-01 8.653954e-01 3.540367e-01
1.384138e-01 1.353149e-01 8.646851e-01 3.540367e-01
1.388139e-01 1.360266e-01 8.639734e-01 3.540367e-01
1.392139e-01 1.367394e-01 8.632606e-01 3.540367e-01
1.396140e-01 1.374536e-01 8.625464e-01 3.540367e-01
1.400140e-01 1.381690e-01 8.618310e-01 3.540367e-01
1.404140e-01 1.388856e-01 8.611144e-01 3.540367e-01
1.408141e-01 1.396035e-01 8.603965e-01 3.540367e-01
1.412141e-01 1.403226e-01 8.596774e-01 3.540367e-01
1.416142e-01 1.410429e-01 8.589571e-01 3.540367e-01
1.420142e-01 1.417645e-01 8.582355e-01 3.540367e-01
1.424142e-01 1.424872e-01 8.575128e-01 3.540367e-01
1.428143e-01 1.432112e-01 8.567888e-01 3.540367e-01
1.432143e-01 1.439364e-01 8.560636e-01 3.540367e-01
1.436144e-01 1.446627e-01 8.553373e-01 3.540367e-01
1.440144e-01 1.453903e-01 8.546097e-01 3.540367e-01
1.444144e-01 1.461190e-01 8.538810e-01 3.540367e-01
1.448145e-01 1.468489e-01 8.531511e-01 3.540367e-01
1.452145e-01 1.475800e-01 8.524200e-01 3.540367e-01
1.456146e-01 1.483123e-01 8.516877e-01 3.540367e-01
1.460146e-01 1.490457e-01 8.509543e-01 3.540367e-01
1.464146e-01 1.497802e-01 8.502198e-01 3.540367e-01
1.468147e-01 1.505159e-01 8.494841e-01 3.540367e-01
1.472147e-01 1.512527e-01 8.487473e-01 3.540367e-01
1.476148e-01 1.519907e-01 8.480093e-01 3.540367e-01
1.480148e-01 1.527298e-01 8.472702e-01 3.540367e-01
1.484148e-01 1.534700e-01 8.465300e-01 3.540367e-01
1.488149e-01 1.542113e-01 8.457887e-01 3.540367e-01
1.492149e-01 1.549538e-01 8.450462e-01 3.540367e-01
1.496150e-01 1.556973e-01 8.443027e-01 3.540367e-01
1.500150e-01 1.564419e-01 8.435581e-01 3.540367e-01
1.504150e-01 1.571876e-01 8.428124e-01 3.540367e-01
1.508151e-01 1.579344e-01 8.420656e-01 3.540367e-01
1.512151e-01 1.586823e-01 8.413177e-01 3.540367e-01
1.516152e-01 1.594312e-01 8.405688e-01 3.540367e-01
1.520152e-01 1.601812e-01 8.398188e-01 3.540367e-01
1.524152e-01 1.609322e-01 8.390678e-01 3.540367e-01
1.528153e-01 1.616843e-01 8.383157e-01 3.540367e-01
1.532153e-01 1.624375e-01 8.375625e-01 3.540367e-01
